./metric_log/220204_220307T1832.txt
./work_dirs/_220204/220204_normal_timesformer_divST_10x32x1_15e_kinetics400_rgb_220206T0757
	sens	spec	accu	f1	cls	TP	TN	FN	FP	All
220209_epoch_100_pred.json	94.85	55.45	78.06	83.23	73.42	129	56	7	45	237
220209_epoch_20_pred.json	88.24	64.36	78.06	82.19	73.42	120	65	16	36	237
220209_epoch_40_pred.json	92.65	63.37	80.17	84.28	75.53	126	64	10	37	237
220209_epoch_60_pred.json	97.06	58.42	80.59	85.16	76.37	132	59	4	42	237
220209_epoch_80_pred.json	94.85	55.45	78.06	83.23	73.00	129	56	7	45	237
220209_latest_pred.json	94.85	55.45	78.06	83.23	73.42	129	56	7	45	237
epoch_100_pred.json	89.66	91.89	91.06	88.14	87.66	78	136	9	12	235
epoch_20_pred.json	83.91	91.89	88.94	84.88	86.38	73	136	14	12	235
epoch_40_pred.json	89.66	92.57	91.49	88.64	88.51	78	137	9	11	235
epoch_60_pred.json	91.95	91.89	91.91	89.39	89.79	80	136	7	12	235
epoch_80_pred.json	89.66	92.57	91.49	88.64	88.09	78	137	9	11	235
last_pred.json	89.66	91.89	91.06	88.14	87.66	78	136	9	12	235
latest_pred.json	89.66	91.89	91.06	88.14	87.66	78	136	9	12	235

./work_dirs/_220204/220204_normal_timesformer_divST_2x32x1_15e_kinetics400_rgb_220206T1417
	sens	spec	accu	f1	cls	TP	TN	FN	FP	All
220209_epoch_100_pred.json	90.44	61.39	78.06	82.55	70.46	123	62	13	39	237
220209_epoch_20_pred.json	0.00	100.00	42.62	0.00	42.62	0	101	136	0	237
220209_epoch_40_pred.json	38.24	83.17	57.38	50.73	48.52	52	84	84	17	237
220209_epoch_60_pred.json	55.88	72.28	62.87	63.33	51.90	76	73	60	28	237
220209_epoch_80_pred.json	75.00	70.30	73.00	76.12	65.40	102	71	34	30	237
220209_latest_pred.json	90.44	61.39	78.06	82.55	70.46	123	62	13	39	237
220209_offset_2_epoch_100_pred.json	93.22	46.67	50.50	23.64	49.70	37737	210966	2743	241078	492524
220209_offset_2_test_0_epoch_100_pred.json	57.84	60.05	59.89	17.18	58.61	450	6028	328	4010	10816
220209_offset_2_test_1_epoch_100_pred.json	86.53	39.42	67.65	76.22	54.63	1792	546	279	839	3456
220209_offset_2_test_1_half_epoch_100_pred.json	86.37	38.35	66.80	75.50	54.46	900	275	142	442	1759
220209_test_2_offset_2_epoch_100_pred.json	92.10	45.74	47.17	9.73	46.66	2541	39567	218	46934	89260
220209_test_2_offset_2_half_epoch_100_pred.json	85.24	45.29	46.13	6.21	45.72	855	21246	148	25666	47915
epoch_100_pred.json	77.01	83.78	81.28	75.28	73.19	67	124	20	24	235
epoch_20_pred.json	0.00	100.00	62.98	0.00	62.98	0	148	87	0	235
epoch_40_pred.json	16.09	99.32	68.51	27.45	65.96	14	147	73	1	235
epoch_60_pred.json	29.89	94.59	70.64	42.98	64.26	26	140	61	8	235
epoch_80_pred.json	62.07	89.19	79.15	68.79	72.34	54	132	33	16	235
last_pred.json	77.01	83.78	81.28	75.28	73.19	67	124	20	24	235
latest_pred.json	77.01	83.78	81.28	75.28	73.19	67	124	20	24	235

./work_dirs/_220204/220204_normal_timesformer_divST_4x32x1_15e_kinetics400_rgb_220206T1619
	sens	spec	accu	f1	cls	TP	TN	FN	FP	All
220209_epoch_100_pred.json	95.59	47.52	75.11	81.50	67.93	130	48	6	53	237
220209_epoch_20_pred.json	75.74	51.49	65.40	71.53	52.74	103	52	33	49	237
220209_epoch_40_pred.json	86.03	48.51	70.04	76.72	58.65	117	49	19	52	237
220209_epoch_60_pred.json	87.50	55.45	73.84	79.33	67.09	119	56	17	45	237
220209_epoch_80_pred.json	87.50	62.38	76.79	81.23	70.89	119	63	17	38	237
220209_latest_pred.json	95.59	47.52	75.11	81.50	67.93	130	48	6	53	237
220209_offset_4_epoch_100_pred.json	97.39	32.61	39.59	25.78	37.84	42432	117659	1138	243171	404400
220209_offset_4_test_0_epoch_100_pred.json	96.85	38.84	45.53	29.08	44.58	860	2646	28	4166	7700
220209_offset_4_test_1_epoch_100_pred.json	95.56	27.26	55.66	64.18	48.37	474	190	22	507	1193
220209_offset_4_test_1_half_epoch_100_pred.json	95.08	29.79	57.59	65.63	50.44	232	98	12	231	573
220209_test_2_offset_4_epoch_100_pred.json	98.52	28.16	30.30	7.92	29.89	1335	12165	20	31040	44560
220209_test_2_offset_4_half_epoch_100_pred.json	97.34	27.94	29.36	5.33	28.88	476	6549	13	16888	23926
220215_4_epoch_100_pred.json	99.78	3.73	52.52	68.10	39.74	9031	327	20	8439	17817
220215_4_epoch_20_pred.json	99.57	0.65	50.90	67.32	35.47	9012	57	39	8709	17817
220215_4_epoch_40_pred.json	99.70	2.24	51.75	67.74	41.57	9024	196	27	8570	17817
epoch_100_pred.json	83.91	83.11	83.40	78.92	76.60	73	123	14	25	235
epoch_20_pred.json	74.71	68.24	70.64	65.33	57.45	65	101	22	47	235
epoch_40_pred.json	81.61	70.95	74.89	70.65	63.83	71	105	16	43	235
epoch_60_pred.json	80.46	83.78	82.55	77.35	76.60	70	124	17	24	235
epoch_80_pred.json	71.26	91.89	84.26	77.02	79.57	62	136	25	12	235
last_pred.json	83.91	83.11	83.40	78.92	76.60	73	123	14	25	235
latest_pred.json	83.91	83.11	83.40	78.92	76.60	73	123	14	25	235

./work_dirs/_220204/220204_normal_timesformer_divST_6x32x1_15e_kinetics400_rgb_220206T1928
	sens	spec	accu	f1	cls	TP	TN	FN	FP	All
220209_epoch_100_pred.json	97.79	52.48	78.48	83.91	73.84	133	53	3	48	237
220209_epoch_20_pred.json	86.76	60.40	75.53	80.27	69.62	118	61	18	40	237
220209_epoch_40_pred.json	92.65	60.40	78.90	83.44	72.15	126	61	10	40	237
220209_epoch_60_pred.json	97.79	49.50	77.22	83.12	72.57	133	50	3	51	237
220209_epoch_80_pred.json	97.79	50.50	77.64	83.39	73.00	133	51	3	50	237
220209_latest_pred.json	97.79	52.48	78.48	83.91	73.84	133	53	3	48	237
220209_offset_6_epoch_100_pred.json	96.42	70.61	73.38	43.78	72.73	27910	169752	1035	70653	269350
220209_offset_6_test_0_epoch_100_pred.json	86.98	69.69	76.67	75.08	68.82	2492	2945	373	1281	7091
220209_offset_6_test_1_epoch_100_pred.json	83.76	74.40	79.27	80.78	70.44	454	372	88	128	1042
220209_offset_6_test_1_half_epoch_100_pred.json	83.89	74.04	79.55	82.10	70.73	250	174	48	61	533
220209_test_2_offset_6_epoch_100_pred.json	96.18	68.57	69.40	15.85	68.80	855	19735	34	9046	29670
220209_test_2_offset_6_half_epoch_100_pred.json	91.88	67.16	67.65	10.24	67.56	294	10487	26	5129	15936
220215_6_epoch_100_pred.json	98.90	16.68	30.95	33.20	25.54	6038	4851	67	24227	35183
220215_6_epoch_20_pred.json	95.04	33.30	39.15	22.83	37.73	5802	19436	303	38922	64463
220215_6_epoch_40_pred.json	92.68	38.43	43.57	23.73	39.73	5658	22428	447	35930	64463
220215_6_epoch_60_pred.json	99.07	15.81	58.33	70.83	44.43	6048	925	57	4924	11954
220215_6_epoch_80_pred.json	98.92	15.54	23.43	19.66	20.50	6039	9066	66	49292	64463
epoch_100_pred.json	88.51	91.89	90.64	87.50	86.81	77	136	10	12	235
epoch_20_pred.json	73.56	89.86	83.83	77.11	82.13	64	133	23	15	235
epoch_40_pred.json	81.61	89.19	86.38	81.61	81.70	71	132	16	16	235
epoch_60_pred.json	89.66	89.19	89.36	86.19	85.53	78	132	9	16	235
epoch_80_pred.json	88.51	91.22	90.21	87.01	86.38	77	135	10	13	235
last_pred.json	88.51	91.89	90.64	87.50	86.81	77	136	10	12	235
latest_pred.json	88.51	91.89	90.64	87.50	86.81	77	136	10	12	235

./work_dirs/_220204/220204_normal_timesformer_divST_8x32x1_15e_kinetics400_rgb_220205T1706
	sens	spec	accu	f1	cls	TP	TN	FN	FP	All
220209_epoch_100_pred.json	96.32	62.38	81.86	85.90	77.22	131	63	5	38	237
220209_epoch_20_pred.json	79.41	80.20	79.75	81.82	73.00	108	81	28	20	237
220209_epoch_40_pred.json	97.06	55.45	79.32	84.35	72.15	132	56	4	45	237
220209_epoch_60_pred.json	97.79	59.41	81.43	85.81	76.79	133	60	3	41	237
220209_epoch_80_pred.json	96.32	61.39	81.43	85.62	76.79	131	62	5	39	237
220209_latest_pred.json	96.32	62.38	81.86	85.90	77.22	131	63	5	38	237
220209_offset_8_epoch_100_pred.json	95.38	76.23	77.79	41.20	77.38	9564	86060	463	26840	122927
220209_offset_8_test_1_epoch_100_pred.json	100.00	56.07	76.62	80.00	76.62	94	60	0	47	201
220209_offset_8_test_1_half_epoch_100_pred.json	100.00	49.09	70.53	74.07	70.53	40	27	0	28	95
220209_test_2_offset_8_epoch_100_pred.json	95.62	71.47	72.19	17.00	72.08	633	15417	29	6153	22232
220209_test_2_offset_8_half_epoch_100_pred.json	91.53	72.40	72.78	11.73	72.73	216	8473	20	3230	11939
epoch_100_pred.json	88.51	91.22	90.21	87.01	87.23	77	135	10	13	235
epoch_20_pred.json	68.97	97.30	86.81	79.47	83.83	60	144	27	4	235
epoch_40_pred.json	89.66	86.49	87.66	84.32	82.98	78	128	9	20	235
epoch_60_pred.json	89.66	89.19	89.36	86.19	86.38	78	132	9	16	235
epoch_80_pred.json	88.51	86.49	87.23	83.70	84.26	77	128	10	20	235
last_pred.json	88.51	91.22	90.21	87.01	87.23	77	135	10	13	235
latest_pred.json	88.51	91.22	90.21	87.01	87.23	77	135	10	13	235

./work_dirs/_220204/220204_normal_timesformer_divST_8x32x1_15e_kinetics400_rgb_220206T2339
	sens	spec	accu	f1	cls	TP	TN	FN	FP	All
220209_epoch_100_pred.json	94.85	57.43	78.90	83.77	74.68	129	58	7	43	237
220209_epoch_20_pred.json	66.91	69.31	67.93	70.54	49.37	91	70	45	31	237
220209_epoch_40_pred.json	82.35	72.28	78.06	81.16	71.73	112	73	24	28	237
